id,address,lat,lng
392,"183, rue Lanthier Montreal",45.435682,-73.928036
393,"1087 Rue Moffat Montreal",45.450496,-73.579180
394,"1745 Crawford Montreal",45.439982,-73.593930
395,"1510 Rue Fayolle Montreal",45.436269,-73.589469
396,"1840 Fayolle Montreal",45.437468,-73.596928
397,"97, rue Hickson Montreal",45.464866,-73.563894
398,"7920, 24e avenue Montreal",45.571772,-73.600394
399,"7235, rue Louis-H�mon Montreal",45.552541,-73.605105
400,"7040 Bloomfield Montreal",45.526962,-73.623086
401,"8270 Henri Julien Montreal",45.541999,-73.632723
402,"8027 Chambord Montreal",45.549450,-73.620790
403,"8320 Avenue d'Outremont Montreal",45.530692,-73.640141
404,"7121 8e avenue Montreal",45.556572,-73.598456
405,"8460, avenue des Belges Montreal",45.546812,-73.632580
406,"7245, avenue Henri-Julien Montreal",45.537615,-73.617140
407,"7212, rue Louis H�bert Montreal",45.443371,-73.610585
408,"7400, 22e Avenue Montreal",45.567278,-73.595207
409,"7101, 8e Avenue Montreal",45.556460,-73.598095
410,"7445, rue St-Andr� Montreal",45.501689,-73.567256
411,"7365, rue des �cores Montreal",45.501689,-73.567256
412,"8346, avenue De Gasp� Montreal",45.501689,-73.567256
413,"7111, 19e avenue Montreal",45.563979,-73.591909
414,"7778, rue St-Andr� Montreal",45.501689,-73.567256
415,"7411, 21e avenue Montreal",45.567095,-73.595651
416,"7600, 6e avenue Montreal",45.559195,-73.607328
417,"8052, rue Rousselot Montreal",45.550703,-73.620706
418,"7101, 19e avenue Montreal",45.563938,-73.591744
419,"7975 rue Louis Hemon Montreal",45.556317,-73.613671
420,"4690 Ave Roslyn, Montr�al, Montreal",45.501689,-73.567256
421,"6, avenue Burton Montreal",45.477018,-73.602073
422,"44, Curzon Montreal",45.452634,-73.647918
423,"150, avenue Wolseley Nord Montreal",45.453283,-73.650281
424,"4, rue des Parulines Montreal",45.449724,-73.551367
425,"48, rue Cherry-Lane Montreal",45.466890,-73.858619
426,"3349, rue Dalb� Viau Montreal",45.501689,-73.567256
427,"823, rue Raymond, LaSalle Montreal",45.424385,-73.612304
428,"2753, rue Anne H�bert Montreal",45.586382,-73.532357
429,"2672, rue Anne H�bert Montreal",45.585736,-73.531171
430,"7317 rue de Marseille Montreal",45.590016,-73.534452
431,"7215 Rue Duchesse de Bassano Montreal",45.501689,-73.567256
432,"2676 av Charlemagne Montreal",45.552176,-73.551973
433,"733-735, rue Versailles Montreal",45.493058,-73.569289
434,"1714, rue de Champlain Montreal",45.523542,-73.556968
435,"3445 Cr. Paul-�mile-C�t� Montreal",45.501689,-73.567256
436,"2330, rue Sainte-Cun�gonde Montreal",45.482653,-73.572147
437,"536, avenue Berwick Montreal",45.505741,-73.645666
438,"3475 Jeanne-Mance Montreal",45.510106,-73.572528
439,"4605, rue de Bullion Montreal",45.522451,-73.586583
440,"7540, Elis�e Martel Montreal",45.501689,-73.567256
441,"8393, rue Ernest Ouimet Montreal",45.632445,-73.579053
442,"2811, rue de l'�cu Montreal",45.510812,-73.713751
443,"371, rue Gilberte-Dub� Montreal",45.501689,-73.567256
444,"221 Rue Dufferin Montreal",45.482642,-73.639095
445,"2324 Hogan Montreal",45.536806,-73.555716
446,"5905, boulevard Pierre-Bernard Montreal",45.609608,-73.538626
447,"3315, rue de Rouen Montreal",45.543343,-73.550149
448,"1621, rue Cuvillier Montreal",45.542744,-73.542334
449,"2115 � 2123 De Champlain Montreal",45.501689,-73.567256
450,"2202-2214, Plessis Montreal",45.524591,-73.563346
451,"3820 Rue Fleury Montreal",45.584401,-73.636261
452,"5472, Henri-Bourassa est Montreal",45.605123,-73.624327
453,"12100 Boulevard Lacordaire Montreal",45.614027,-73.628049
454,"3975-77-79, rue Martial Montreal",45.591348,-73.640360
455,"12769, boulevard Gouin Ouest Montreal",45.504146,-73.837073
456,"4408, rue Fabre Montreal",45.530792,-73.574688
457,"5138 Rue De Gaspé Montreal",45.525161,-73.592185
458,"5820, � 5832 Chateaubriand Montreal",45.501689,-73.567256
459,"2195 Rue Dandurand Montreal",45.541306,-73.583820
460,"6928-26-24 Christophe Colomb Montreal",45.540577,-73.608090
